filename,size(wxh),pos(x+y),start,end
MaouGakuinNoFutekigoushaS2Part2-OP1-NCBD1080.webm,89.38x31.39,46.69x67.61,17,23
MajoToYajuu-OP1.webm,66.41x12.36,79.65x24.48,9,15
Dekoboko-OP1.webm,56.37x18.33,50.04x100.00,22,30
NoGameNoLife-OP1.webm,29.84x32.15,62.25x28.05,10,13
Canaan-OP1.webm,75.16x17.99,49.21x50.13,26,31
CyberpunkEdgerunners-OP1.webm,50.16x12.50,11.36x33.49,0,4
SoraWoKakeruShoujo-OP2.webm,42.89x8.06,70.45x34.14,18,27
HitsugiNoChaikaS2-OP1.webm,37.42x10.69,49.88x64.07,21,28
DanMachiS4Part2-OP1-NCBD1080.webm,100.00x100.00,0.00x0.00,10,15
ShadowGarden-OP1-NCBD1080.webm,94.88x79.72,71.76x88.01,14,16
ShadowGarden-OP1-NCBD1080.webm,100.00x66.39,66.67x17.98,19,22
KanteiSkillS2-OP1.webm,20.98x57.08,72.96x45.63,9,16
BlackRockShooterDawnFall-OP1.webm,28.40x8.40,13.80x23.96,2,5
BlackRockShooterDawnFall-OP1.webm,100.00x67.57,80.00x62.53,49,53
ShingekiNoBahamutVirginSoul-OP1.webm,100.00x77.71,66.67x83.49,16,22.5
OnePiece-OP5-NCDVD480.webm,74.84x87.29,50.31x44.26,20,27
EdensZero-OP1.webm,100.00x48.40,0.00x0.00,9,15
YuriOnIce-OP1v2.webm,47.34x36.18,0.00x100.00,51,57
NegaPosiAngler-OP1.webm,39.69x8.40,57.97x49.43,31,36
SaihateNoPaladin-OP1-NCBD1080.webm,10.74x4.93,49.80x29.66,5,11
SidoniaNoKishi-OP1.webm,43.55x16.74,49.90x63.30,21,26.5
HandaKun-OP1.webm,95.00x90.83,51.56x59.09,4,11
HamefuraS2-OP1-NCBD1080.webm,89.53x33.26,58.96x34.34,19,28
ToaruKagakuNoRailgun-OP1.webm,12.11x19.65,56.71x97.49,7,13
KakumeikiValvrave-OP1.webm,20.08x14.44,76.00x39.12,20,27.5
ShingekiNoKyojinS4Part2-OP1.webm,85.20x53.61,46.70x53.14,16,20.5
MasamuneKunNoRevengeS2-OP1-NCBD1080.webm,82.93x45.07,53.32x49.18,20,23
TonikawaS2-OP1.webm,75.78x37.78,50.65x55.80,37,49.5
PrincessPrincipal-OP1-NCBD1080.webm,83.20x94.65,45.12x61.04,16,22.5
Bastard2022S2-OP1.webm,95.04x62.64,66.14x53.72,17,21.5
BlackClover-OP1-NCBD1080.webm,60.98x34.58,51.15x51.17,18,22
FateStayNightUBWS2-OP1.webm,48.05x66.11,50.15x24.59,11,17.5
MomochiSan-OP1.webm,4.02x21.18,58.24x57.18,5,8.5
NanatsuNoTaizaiKamigamiNoGekirin-OP1-NCBD1080.webm,68.95x28.12,0.00x100.00,8.5,14
Bleach-OP4.webm,75.47x91.32,50.16x50.40,8,16.5
EfATaleOfMemories-OP1.webm,100.00x100.00,0.00x0.00,0,1
EfATaleOfMemories-OP1.webm,100.00x100.00,0.00x0.00,7,13.5
Hyakkano-OP1.webm,87.34x71.18,56.79x8.43,26,31
FullmetalAlchemistBrotherhood-OP2.webm,76.33x9.17,49.34x70.11,15,18.5
CardfightVanguard-OP1.webm,17.23x9.17,26.33x93.43,6,13
Btooom-OP1.webm,100.00x86.46,100.00x21.03,21,32
Bleach-OP3.webm,75.74x34.86,50.24x50.85,24,29.5
ShakuganNoShana-OP1.webm,45.35x41.67,0.00x100.00,22,26
MaouSamaRetryS2-OP1.webm,100.00x80.49,0.00x100.00,17.3,21
AnsatsuKyoushitsu-OP2.webm,100.00x23.40,50.00x52.95,0,1
AnsatsuKyoushitsu-OP2.webm,87.19x59.44,48.17x53.42,10.5,13
KanteiSkill-OP1.webm,20.98x65.56,68.31x45.97,0,8.5
CardfightVanguardDivinezS2-OP1.webm,86.17x84.72,57.63x60.00,18,26
ZombielandSagaS2-OP2.webm,100.00x89.65,66.67x55.70,0,5
ZombielandSagaS2-OP2.webm,81.80x37.36,56.01x47.67,11,22
OverlordS2-OP1-NCBD1080.webm,100.00x58.61,80.00x48.83,9,16.5
DGrayMan-OP1.webm,100.00x86.53,0.00x24.23,2,6.5
DarkGathering-OP1-NCBD1080.webm,100.00x35.28,100.00x100.00,14.5,21
SeitokaiYakuindomo-OP1.webm,40.51x76.53,44.06x48.52,7,11
JojoNoKimyouNaBoukenS6-OP1.webm,100.00x55.76,0.00x100.00,11,16
MonochromeFactor-OP1.webm,100.00x68.19,66.67x42.36,16,19
SpyXFamilyS2-OP1.webm,100.00x100.00,0.00x0.00,1,10.5
FairyTail-OP3.webm,100.00x100.00,0.00x0.00,11,19
Bleach-OP1.webm,70.12x49.03,48.63x47.00,15.5,16.5
Bleach-OP1.webm,76.09x100.00,49.02x0.00,20,32
MachineDollWaKizutsukanai-OP1.webm,100.00x22.92,100.00x51.71,12,20
OnePiece-OP8-NCDVD480.webm,73.91x75.07,49.70x50.70,3,12
OnePiece-OP8-NCDVD480.webm,68.12x42.85,49.39x47.51,13,25
FairyTail-OP1.webm,87.23x60.28,63.00x19.06,9,16.5
Totokami-OP1-NCBD1080.webm,100.00x100.00,0.00x0.00,18,25
SwordArtOnlineS2-OP1.webm,81.56x21.67,52.54x48.49,13.5,18
NarutoShippuuden-OP3.webm,82.03x78.06,48.91x45.89,13,19
BoushokuNoBerserk-OP1.webm,24.88x6.88,51.17x53.62,36,38.5
KumoDesuGaNaniKa-OP2-NCBD1080.webm,100.00x68.75,50.00x38.44,10.5,19.5
KomiSanWaKomyushouDesu-OP1.webm,39.92x6.39,49.54x62.24,7,15
KomiSanWaKomyushouDesu-OP1.webm,58.20x41.74,51.12x50.77,20.5,22.5
DragonBallZ-OP1-NCBD1080.webm,86.41x87.43,51.15x38.67,1,16.5
SwordArtOnlineAlicization-OP2-NCBD1080.webm,36.88x22.99,100.00x100.00,1,6
SwordArtOnlineAlicization-OP2-NCBD1080.webm,83.32x44.17,51.29x54.35,11,16
Revisions-OP1-NCBD1080.webm,81.02x33.47,50.82x49.58,15,24.5
TalesOfZestiria-ED3.webm,80.16x30.76,52.36x53.56,34,38
ShinkalionChangeTheWorld-OP1.webm,13.44x8.26,77.66x49.05,9,17.5
ShangrilaFrontier-OP2.webm,44.92x8.68,66.17x44.03,11,20.5
FateStayNightUBW-OP1.webm,48.95x67.99,49.35x57.27,11,17.5
NanatsuNoTaizaiFunnuNoShinpan-OP2-NCBD1080.webm,28.40x12.71,62.68x77.72,26,31
MahoutsukaiNoYomeS2-OP1.webm,75.00x47.43,49.38x51.78,3,9
GakuenToshiAsteriskS2-OP1-NCBD1080.webm,40.00x11.46,49.61x63.61,14,20.5
KaizokuOujo-OP1-NCBD1080.webm,39.38x14.37,52.06x75.99,15,20
OokamiToKoushinryou2024-OP2.webm,78.91x13.96,48.33x68.93,11,20
Wajutsushi-OP1.webm,40.35x4.86,48.72x72.92,15,19
CasshernSins-OP1.webm,25.62x26.60,81.30x58.66,22,28
Danganronpa-OP2.webm,81.37x44.03,50.73x52.11,5,6.8
CardfightVanguardOverdress-OP1.webm,27.30x25.83,33.26x0.00,37,40
BlackCat-OP1.webm,52.46x60.90,100.00x41.21,18,20
BlackCat-OP1.webm,84.92x51.04,100.00x45.53,20.5,22.5
BlackCat-OP1.webm,100.00x100.00,85.71x0.00,23,27
UndeadUnluck-OP2.webm, 100.00x100.00,0.00x0.00,5,6.5
UndeadUnluck-OP2.webm, 100.00x100.00,0.00x0.00,7.5,9
UndeadUnluck-OP2.webm, 100.00x100.00,0.00x0.00,11,16
KoreWaZombieDesuKa-OP1.webm,100.00x40.76,100.00x87.69,5,14
GoblinSlayerS2-OP1.webm,90.90x37.15,50.21x47.85,12,16.6
BrandNewAnimal-OP1.webm,100.00x93.75,50.00x41.11,16.5,25
Bucchigiri-OP1.webm,25.27x12.01,23.94x66.06,17.2,23.5
KekkaiSensenAndBeyond-OP1-NCBD1080.webm,100.00x92.85,75.00x44.66,9,20.4
NanatsuNoTaizai-OP1.webm,48.09x13.82,65.69x59.39,24,32
HametsuNoOukoku-OP1.webm,50.98x8.47,51.55x69.73,37,44
GranblueFantasyS2-OP1-NCBD1080.webm,67.89x36.53,46.59x62.91,10,17
SousouNoFrieren-OP2.webm,70.62x11.81,51.73x70.63,23,29
SwordArtOnlineAlicizationS2-OP1-NCBD1080.webm,79.77x41.53,48.84x57.96,6,12
ReZeroS2Part2-OP1-NCBD1080.webm,100.00x72.78,75.00x87.50,6,19
ShingekiNoBahamutGenesis-OP1.webm,72.30x37.99,50.35x85.78,11,21
FairyTail2014-OP7.webm,100.00x100.00,0.00x0.00,12,21.5
Persona5-OP2.webm,97.93x95.83,56.60x48.33,8,12
BokuyabaS2-OP1.webm,71.33x10.14,69.89x55.49,16,23
Trigun-OP1.webm,64.61x35.83,49.23x53.79,25,33
Gundam00S2-OP1.webm,84.88x43.33,51.16x46.94,28,33
KusuriyaNoHitorigoto-OP1-NCBD1080.webm,2.11x20.83,50.88x71.75,5,16
MagicKaito1412-OP2.webm,51.25x38.06,0.00x100.00,13,17
TalesOfZestiriaS2-OP1.webm,70.74x25.90,52.60x54.17,13,20
Inuyashiki-OP1-NCBD1080.webm,61.33x8.47,48.38x78.83,9,16
FullmetalAlchemistBrotherhood-OP5.webm,74.38x8.26,51.07x66.69,1.5,7.5
MairimashitaIrumaKunS2-OP1.webm,68.67x17.43,46.63x85.37,6,12
Naruto-OP1.webm,55.59x47.01,50.04x53.47,9.5,17
FullmetalAlchemistBrotherhood-OP4.webm,76.05x9.65,51.39x69.02,5,15
KyokouSuiriS2-OP1-NCBD1080.webm,86.25x54.37,56.82x56.32,14,20
OnePiece-OP26.webm,100.00x71.81,100.00x54.93,7,13.5
OnePiece-OP26.webm,69.06x44.65,50.51x32.62,13.5,19
DGrayManHollow-OP1.webm,86.88x65.28,54.76x39.60,13,22
MushokuTenseiS2-OP1-NCBD1080.webm,70.98x52.92,48.86x52.65,25,31
K-OP1.webm,63.59x56.11,49.36x57.12,10,14
MaouGakuinNoFutekigoushaS2Part2-OP1.webm,89.38x31.39,46.69x67.61,17,23
TrinitySeven-OP1.webm,28.09x7.08,50.46x64.50,18,23
Baki-OP1.webm,12.89x9.93,54.39x35.62,17,22
GundamGNoReconguista-OP1.webm,100.00x71.88,0.00x100.00,14,21
EnenNoShouboutai-OP2-NCBD1080.webm,22.38x11.81,14.90x88.90,5,10
EnenNoShouboutai-OP2-NCBD1080.webm,29.61x17.08,43.17x29.98,11,23
GundamBuildFightersTry-OP1.webm,30.04x5.00,85.26x66.23,27,31
BlackClover-OP10.webm,10.82x3.61,50.50x45.39,9,16
Bleach2022-OP1-NCBD1080.webm,97.11x95.42,48.65x59.09,11,20
Listeners-OP1.webm,100.00x62.36,66.67x55.90,47,53
Ranma-OP1.webm,60.23x53.89,45.78x48.95,30,38
GrandBlue-OP1-Lyrics.webm,78.24x47.92,37.52x39.73,17,24
NarutoShippuuden-OP1.webm,58.16x52.64,50.14x49.27,18,29
Kuroshitsuji-OP1.webm,35.43x21.39,50.39x92.58,12,17
NanatsuNoTaizai-OP2.webm,46.13x16.39,63.02x59.47,20.3,26
MushokuTenseiS2Part2-OP1.webm,98.20x86.46,41.30x57.44,21,32
Konosuba-OP1.webm,98.54x98.54,27.27x28.57,6,8.5
Konosuba-OP1.webm,95.51x16.18,36.52x76.06,14,25
SoraWoKakeruShoujo-OP1.webm,42.89x8.06,70.45x34.14,18,23
ShuumatsuNoWalkureS2-OP1-[MAL]49618[ART]Minami[SNG]Rude Lose Dance.webm,100.00x50.35,66.67x58.60,15,27
TomodachiGame-OP1.webm,85.16x48.47,46.32x51.35,33,37
